date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:08	200623/200623	---M--	200	added ('OK')	image/png	etag:%2269c1379-30faf-57492c8b67040%22	http://fakye.web-cartel.com/images/bg-map.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/bg-map.png	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:16:19	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a05495-12ae6-566aefd907a00%22	http://fakye.web-cartel.com/fonts/fontawesome-webfont5b62.eot?v=4.6.3	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/fontawesome-webfont5b625b62.eot	(from http://fakye.web-cartel.com/css/font-awesome.min.css)
10:16:21	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a0549a-12ae6-566aefdaefe80%22	http://fakye.web-cartel.com/fonts/fontawesome-webfontd41d.eot?	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/fontawesome-webfontd41dd41d.eot	(from http://fakye.web-cartel.com/css/font-awesome.min.css)
10:16:30	322690/322690	---M--	200	added ('OK')	image/jpeg	etag:%2269c137d-4ec82-57492c99b5200%22	http://fakye.web-cartel.com/images/listing-detail.jpg	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/listing-detail.jpg	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:16:31	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%226a05499-118d8-566aefdaefe80%22	http://fakye.web-cartel.com/fonts/fontawesome-webfont5b62.woff2?v=4.6.3	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/fontawesome-webfont5b625b62.woff2	(from http://fakye.web-cartel.com/css/font-awesome.min.css)
10:16:34	391622/391622	---M--	200	added ('OK')	image/svg+xml	etag:%226a05496-5f9c6-566aefd907a00%22	http://fakye.web-cartel.com/fonts/fontawesome-webfont5b62.svg?v=4.6.3	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/fontawesome-webfont5b625b62.svg	(from http://fakye.web-cartel.com/css/font-awesome.min.css)
10:16:36	205289/205289	---M--	200	added ('OK')	image/jpeg	etag:%2269c1377-321e9-57492c911fdc0%22	http://fakye.web-cartel.com/images/error-page-bg.jpg	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/error-page-bg.jpg	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:16:36	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:16:39%20GMT	http://fakye.web-cartel.com/login.html	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/login.html	(from http://fakye.web-cartel.com/about-fakye)
10:16:36	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:16:40%20GMT	http://fakye.web-cartel.com/about.html	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/about.html	(from http://fakye.web-cartel.com/about-fakye)
10:16:38	37755/37755	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2010:16:41%20GMT	http://fakye.web-cartel.com/charitable-post-in-ghana?page=2	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/charitable-post-in-ghana4658.html	(from http://fakye.web-cartel.com/charitable-post-in-ghana)
10:16:38	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:16:42%20GMT	http://fakye.web-cartel.com/categories/images/loading.gif	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/categories/images/loading.gif	(from http://fakye.web-cartel.com/categories/9-Clothing)
10:16:39	90412/90412	---M--	200	added ('OK')	font/woff	etag:%226a05498-1612c-566aefdaefe80%22	http://fakye.web-cartel.com/fonts/fontawesome-webfont5b62.woff?v=4.6.3	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/fontawesome-webfont5b625b62.woff	(from http://fakye.web-cartel.com/css/font-awesome.min.css)
10:16:39	24356/24356	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2010:16:43%20GMT	http://fakye.web-cartel.com/8-Free%20Lady's%20Wear%20at%20Adenta/Accra	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/8-Free%20Lady's%20Wear%20at%20Adenta/Accra.html	(from http://fakye.web-cartel.com/categories/9-Clothing)
10:16:40	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:16:44%20GMT	http://fakye.web-cartel.com/categories/images/new-thum-1.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/categories/images/new-thum-1.73.delayed	(from http://fakye.web-cartel.com/categories/9-Clothing)
10:16:41	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:16:44%20GMT	http://fakye.web-cartel.com/categories/listing_detail.html	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/categories/listing_detail.html	(from http://fakye.web-cartel.com/categories/9-Clothing)
10:16:41	24312/24312	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2010:16:45%20GMT	http://fakye.web-cartel.com/7-Rich%20Dad%20Poor%20Dad%20Book%20For%20Free/Accra	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/7-Rich%20Dad%20Poor%20Dad%20Book%20For%20Free/Accra.html	(from http://fakye.web-cartel.com/categories/5-Books%20&%20Stationary)
10:16:42	22082/22082	---M--	200	added ('OK')	image/png	etag:%2269c1388-5642-57492c888a980%22	http://fakye.web-cartel.com/images/about-user.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/about-user.png	(from http://fakye.web-cartel.com/about-fakye)
10:16:43	1602/1602	---M--	200	added ('OK')	text/css	etag:%2269e1b5d-642-57120e6492a00%22	http://fakye.web-cartel.com/dist/remodal.css	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/dist/remodal.css	(from http://fakye.web-cartel.com/1-THE%20BIG%20CHEESE/Accra)
10:16:43	5718/5718	---M--	200	added ('OK')	text/css	etag:%2269e1b60-1656-57120e6492a00%22	http://fakye.web-cartel.com/dist/remodal-default-theme.css	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/dist/remodal-default-theme.css	(from http://fakye.web-cartel.com/1-THE%20BIG%20CHEESE/Accra)
10:16:44	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:16:47%20GMT	http://fakye.web-cartel.com/1-THE%20BIG%20CHEESE/images/loading.gif	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/1-THE%20BIG%20CHEESE/images/loading.gif	(from http://fakye.web-cartel.com/1-THE%20BIG%20CHEESE/Accra)
10:16:51	44665/44665	---M--	200	added ('OK')	image/jpeg	etag:%2269c1359-ae79-57492c902bb80%22	http://fakye.web-cartel.com/images/detail-view-bg.jpg	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/detail-view-bg.jpg	(from http://fakye.web-cartel.com/1-THE%20BIG%20CHEESE/Accra)
10:16:52	3553/3553	---M--	200	added ('OK')	image/jpeg	etag:%2269c1383-de1-57492c8f37940%22	http://fakye.web-cartel.com/images/company-logo.jpg	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/company-logo.jpg	(from http://fakye.web-cartel.com/1-THE%20BIG%20CHEESE/Accra)
10:16:57	104654/104654	---M--	200	added ('OK')	image/jpeg	etag:%226a054d9-198ce-56aebf6524980%22	http://fakye.web-cartel.com/images/listing/1524936566.10050934_MSTD_MAIN.jpg	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/listing/1524936566.10050934_MSTD_MAIN.jpg	(from http://fakye.web-cartel.com/categories/9-Clothing)
10:16:59	152796/152796	---M--	200	added ('OK')	font/ttf	etag:%226a05497-254dc-566aefd907a00%22	http://fakye.web-cartel.com/fonts/fontawesome-webfont5b62.ttf?v=4.6.3	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/fontawesome-webfont5b625b62.ttf	(from http://fakye.web-cartel.com/css/font-awesome.min.css)
